,User,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
531,Easymoney78,12.0,0.42857142857142855,16.0,0.5714285714285714,28.0,Unpredictable
4458,antiliberal2020,0.0,0.0,28.0,1.0,28.0,Bearish
1438,Duke_GNUSem,28.0,1.0,0.0,0.0,28.0,Bullish
3080,SPMarshallo,27.0,1.0,0.0,0.0,27.0,Bullish
305,ElliottwaveForecast,27.0,1.0,0.0,0.0,27.0,Bullish
1475,patientforapayday,27.0,1.0,0.0,0.0,27.0,Bullish
1199,mariaas,27.0,1.0,0.0,0.0,27.0,Bullish
75,Caymus3,21.0,0.7777777777777778,6.0,0.2222222222222222,27.0,Unpredictable
80,proinvstr,5.0,0.18518518518518517,22.0,0.8148148148148148,27.0,Bearish
861,HatchingGains,25.0,0.9615384615384616,1.0,0.038461538461538464,26.0,Bullish
4661,ezgo89,0.0,0.0,26.0,1.0,26.0,Bearish
2254,AfricanG,2.0,0.07692307692307693,24.0,0.9230769230769231,26.0,Bearish
4193,EBIT_DA,0.0,0.0,26.0,1.0,26.0,Bearish
232,delray555,24.0,0.9230769230769231,2.0,0.07692307692307693,26.0,Bullish
2558,ThrashCap,24.0,0.9230769230769231,2.0,0.07692307692307693,26.0,Bullish
354,ManufactEngineer,23.0,0.8846153846153846,3.0,0.11538461538461539,26.0,Bullish
4397,HollyDolly,0.0,0.0,25.0,1.0,25.0,Bearish
767,camhack,2.0,0.08,23.0,0.92,25.0,Bearish
405,SilentFathom30,25.0,1.0,0.0,0.0,25.0,Bullish
4382,King_of_stockss,0.0,0.0,25.0,1.0,25.0,Bearish
386,Bitcoin30K,25.0,1.0,0.0,0.0,25.0,Bullish
2566,isabeltm,25.0,1.0,0.0,0.0,25.0,Bullish
2064,gkco96,19.0,0.76,6.0,0.24,25.0,Unpredictable
479,FKIT,4.0,0.16,21.0,0.84,25.0,Bearish
4306,EasyE3,0.0,0.0,25.0,1.0,25.0,Bearish
2842,soon2beee,2.0,0.08,23.0,0.92,25.0,Bearish
608,Ja427,24.0,0.96,1.0,0.04,25.0,Bullish
15,AmyS,12.0,0.48,13.0,0.52,25.0,Unpredictable
1433,MontyHall,1.0,0.04,24.0,0.96,25.0,Bearish
178,Ivyleagueinvestor11,9.0,0.36,16.0,0.64,25.0,Unpredictable
504,_qp_,10.0,0.4166666666666667,14.0,0.5833333333333334,24.0,Unpredictable
1995,_SPYtraderPro_,4.0,0.16666666666666666,20.0,0.8333333333333334,24.0,Bearish
4497,Live_Market_Index,0.0,0.0,24.0,1.0,24.0,Bearish
1737,LeWatcher,4.0,0.16666666666666666,20.0,0.8333333333333334,24.0,Bearish
280,Steves55,19.0,0.7916666666666666,5.0,0.20833333333333334,24.0,Unpredictable
2501,BlackCrowInvesting,6.0,0.25,18.0,0.75,24.0,Unpredictable
1483,SomeQuant,24.0,1.0,0.0,0.0,24.0,Bullish
2832,RobinHoodSays,1.0,0.041666666666666664,23.0,0.9583333333333334,24.0,Bearish
4394,Suspendeddanfriffmuffin,0.0,0.0,24.0,1.0,24.0,Bearish
4192,ThousandDollarMan,0.0,0.0,24.0,1.0,24.0,Bearish
2362,Dborneman1,7.0,0.2916666666666667,17.0,0.7083333333333334,24.0,Unpredictable
3640,Webullman,3.0,0.13043478260869565,20.0,0.8695652173913043,23.0,Bearish
806,PaulEbeling,22.0,0.9565217391304348,1.0,0.043478260869565216,23.0,Bullish
766,Options500to100k,14.0,0.6086956521739131,9.0,0.391304347826087,23.0,Unpredictable
244,stinkroach,22.0,0.9565217391304348,1.0,0.043478260869565216,23.0,Bullish
124,Arizona480,19.0,0.8260869565217391,4.0,0.17391304347826086,23.0,Bullish
5280,UndercoverBear,0.0,0.0,23.0,1.0,23.0,Bearish
2270,SwingTrader6,1.0,0.043478260869565216,22.0,0.9565217391304348,23.0,Bearish
2983,GekkoRigo69,23.0,1.0,0.0,0.0,23.0,Bullish
2627,VixUp,1.0,0.043478260869565216,22.0,0.9565217391304348,23.0,Bearish
413,RickSantelliFanClub,22.0,0.9565217391304348,1.0,0.043478260869565216,23.0,Bullish
1274,ProfoundLover,23.0,1.0,0.0,0.0,23.0,Bullish
