,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
684,$GOL,4.0,1.0,0.0,0.0,4.0,Unpredictable
685,$AZUL,4.0,1.0,0.0,0.0,4.0,Unpredictable
239,$NET,3.0,0.75,1.0,0.25,4.0,Unpredictable
728,$BTC,1.0,0.25,3.0,0.75,4.0,Unpredictable
257,$LULU,3.0,0.75,1.0,0.25,4.0,Unpredictable
411,$VSTM,4.0,1.0,0.0,0.0,4.0,Unpredictable
745,$LMT,3.0,0.75,1.0,0.25,4.0,Unpredictable
242,$325.,3.0,0.75,1.0,0.25,4.0,Unpredictable
854,$AMC,1.0,0.3333333333333333,2.0,0.6666666666666666,3.0,Unpredictable
1134,$46.21,3.0,1.0,0.0,0.0,3.0,Unpredictable
594,$LINK.X,3.0,1.0,0.0,0.0,3.0,Unpredictable
1137,$134.35,3.0,1.0,0.0,0.0,3.0,Unpredictable
686,$40K,3.0,1.0,0.0,0.0,3.0,Unpredictable
447,$NDAQ,3.0,1.0,0.0,0.0,3.0,Unpredictable
1135,$34.20,3.0,1.0,0.0,0.0,3.0,Unpredictable
1275,$APLE,2.0,0.6666666666666666,1.0,0.3333333333333333,3.0,Unpredictable
452,$FRAN,3.0,1.0,0.0,0.0,3.0,Unpredictable
1139,$125.14,3.0,1.0,0.0,0.0,3.0,Unpredictable
687,$2.9M,3.0,1.0,0.0,0.0,3.0,Unpredictable
1133,$44.30,3.0,1.0,0.0,0.0,3.0,Unpredictable
1132,$42.12,3.0,1.0,0.0,0.0,3.0,Unpredictable
1131,$38.50,3.0,1.0,0.0,0.0,3.0,Unpredictable
695,$326,3.0,1.0,0.0,0.0,3.0,Unpredictable
1106,$33.60,3.0,1.0,0.0,0.0,3.0,Unpredictable
1105,$41.50,3.0,1.0,0.0,0.0,3.0,Unpredictable
1138,$136.45,3.0,1.0,0.0,0.0,3.0,Unpredictable
1184,$35.01,3.0,1.0,0.0,0.0,3.0,Unpredictable
1104,$39.15,3.0,1.0,0.0,0.0,3.0,Unpredictable
1203,$175,3.0,1.0,0.0,0.0,3.0,Unpredictable
1209,$28.30,3.0,1.0,0.0,0.0,3.0,Unpredictable
1210,$20.35,3.0,1.0,0.0,0.0,3.0,Unpredictable
1208,$26.30,3.0,1.0,0.0,0.0,3.0,Unpredictable
1207,$25.25,3.0,1.0,0.0,0.0,3.0,Unpredictable
1206,$168.24,3.0,1.0,0.0,0.0,3.0,Unpredictable
1205,$179.20,3.0,1.0,0.0,0.0,3.0,Unpredictable
1204,$177,3.0,1.0,0.0,0.0,3.0,Unpredictable
1188,$31.44,3.0,1.0,0.0,0.0,3.0,Unpredictable
1185,$38,3.0,1.0,0.0,0.0,3.0,Unpredictable
652,$CARA,3.0,1.0,0.0,0.0,3.0,Unpredictable
665,$UPS,3.0,1.0,0.0,0.0,3.0,Unpredictable
1187,$43,3.0,1.0,0.0,0.0,3.0,Unpredictable
